name_of_city,population_total,effective_literacy_rate_total,total_graduates,sample_mean
Gokal Pur ,0.009771889082030801,0.862753036437247,0.0072003662988820594,0.009664388097309452
Gonda ,0.009164041006064296,0.8205465587044534,0.00774918431415982,0.009218326132964983
Gondal ,0.008980604717878756,0.8677125506072875,0.00475297111344325,0.008592361745775458
Gondiya ,0.010649482263297668,0.9483805668016195,0.008357431351600554,0.010611769015576929
Gorakhpur ,0.053776563702197876,0.8701417004048583,0.05570255234143594,0.055658712626365243
Greater Hyderabad ,0.5457385842965875,0.8396761133603239,0.5241230054697211,0.5583819882918539
Greater Mumbai ,1.0,0.9137651821862348,0.8114632280674268,1.0
Greater Noida ,0.00862895839522338,0.8759109311740891,0.009360521210533164,0.009001776181143572
Gudivada ,0.00947946487251178,0.8315789473684211,0.005638103367779655,0.009165674719955557
Gulbarga ,0.04263599468747994,0.8472672064777328,0.029281849791345602,0.041814827060845744
Guna ,0.014503247078743052,0.8270242914979756,0.0099516598931088,0.014226245699268647
Guntakal ,0.010135796545836193,0.7661943319838057,0.00523425614899036,0.009675904171551756
Guntur ,0.05220056630444478,0.8209514170040486,0.0425151622794992,0.052230229014537166
Gurgaon ,0.07026707730537302,0.8734817813765182,0.10526905814454489,0.07777707679528631
Guwahati ,0.07720744416352451,0.922165991902834,0.0828697194274824,0.08035799176773369
Gwalior ,0.08442597063560874,0.8623481781376519,0.0762060152075266,0.08562860120826993
Habra ,0.011994681709991637,0.9195344129554656,0.006223839411976839,0.011455143243872163
Hajipur ,0.011790409495668812,0.8022267206477733,0.0073471379748300085,0.011450550398745367
Haldia ,0.016088700781435383,0.901417004048583,0.007872994776999348,0.015288807666790786
Haldwani-cum-Kathgodam ,0.012506363973016835,0.8274291497975709,0.015455597741156894,0.013337439486727101
Halisahar ,0.010168973751300943,0.90334008097166,0.004863274980336648,0.00964814333223909
Hanumangarh ,0.012109199165569242,0.7927125506072874,0.007595209120373934,0.011767621267853981
Haora ,0.08592102847413624,0.9095141700404858,0.06820380732930927,0.08569068829563271
Hapur ,0.021060393172323447,0.7625506072874495,0.01281865999260739,0.020401247195742093
Hardoi ,0.01016873333676859,0.882085020242915,0.013131112578827871,0.01093369881933028
Hardwar ,0.018049922398195865,0.8602226720647773,0.017484288452265663,0.018497072092392153
Hassan ,0.010716317503291876,0.916093117408907,0.009473526396615787,0.010843533685940038
Hastsal ,0.01418710196869851,0.8570850202429151,0.005808286476700897,0.013305783937154451
Hathras ,0.011019720643121697,0.8002024291497977,0.008379492124979234,0.01093768385997925
Hazaribag ,0.01141920945771537,0.910425101214575,0.0130064016762586,0.01200714594884297
Hindaun ,0.008469803974805519,0.7751012145748988,0.0035855510038327217,0.007963819791439765
Hindupur ,0.012167780173285986,0.7732793522267207,0.004974929506824658,0.01141113693925356
Hinganghat ,0.00804715522692848,0.9548582995951418,0.005067674798988086,0.007826276719144366
Hisar ,0.024141545818962887,0.8202429149797572,0.022127405918680388,0.02454171913496807
Hoshangabad ,0.009452778859420568,0.8903846153846154,0.008545173035251765,0.00959490582205462
Hoshiarpur ,0.01349871502439366,0.9019230769230769,0.01198890478165012,0.013665875179194134
Hospet ,0.016521206525138905,0.809919028340081,0.007904059947675447,0.015670923418324764
Hosur ,0.009361822028013582,0.8931174089068825,0.006991914501446782,0.0092738667179508
Hubli-Dharwad ,0.07563897975445182,0.8834008097165992,0.051263834693672655,0.07407149876324254
Hugli-Chinsurah ,0.0142012062879299,0.9305668016194332,0.014063067699110861,0.014602498378345444
Ichalkaranji ,0.023045335689609453,0.8891700404858299,0.010194778620139145,0.02172843939027105
Imphal ,0.021235495090054075,0.9281376518218624,0.028775802663230588,0.02303723919722563
Indore ,0.15712139499410463,0.8844129554655871,0.14115518313368333,0.1592506117545067
Jabalpur ,0.08449256546107059,0.8997975708502025,0.07640726348712394,0.0857183504017295
Jagadhri ,0.01001046043630269,0.8683198380566802,0.00843621982795298,0.010065101405440858
Jagdalpur ,0.010044919852606658,0.8647773279352227,0.007303916867802391,0.009919077780114418
Jaipur ,0.2462926676693021,0.8536437246963563,0.2400338205162491,0.25254572533393516
Jalandhar ,0.0690948160456185,0.8653846153846154,0.05804414585863006,0.06940773517803168
Jalgaon ,0.03690106629454771,0.9004048582995952,0.024903911825339905,0.03612318977795438
Jalna ,0.022867348797490587,0.8563765182186235,0.010786817742444523,0.02166477117098325
Jalpaiguri ,0.008602913487551777,0.922165991902834,0.00911785270336769,0.008941595835247533
Jamalpur ,0.008432219169580958,0.8844129554655871,0.004789438922497802,0.008118977989822928
Jammu ,0.04036479860033865,0.9074898785425101,0.05473052765317943,0.043788787641453844
Jamnagar ,0.04241777843028063,0.83582995951417,0.023433493746671186,0.040714467777535505
Jamshedpur ,0.050459724675674784,0.8856275303643725,0.04995729664581698,0.05186704413173362
Jamuria ,0.011617711723261717,0.7399797570850203,0.002447395185438809,0.010537152613096958
